,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Uwan,Uwan,GPE,0.07930308,0.42981151,en,2.80000000,,0,,,,,,
St. Pete Beach,St. Pete Beach,GPE,0.07440476,0.15178571,en,2.80000000,,0,,,,,,
North Carolina Beach,North Carolina Beach,GPE,-0.10164786,0.62314471,en,2.80000000,,0,,,,,,
Windward Islands,Windward Islands,LOC,-0.00669643,0.16071429,en,2.80000000,,0,,,,,,
Veracruz,Veracruz,GPE,-0.11160714,0.31250000,en,2.80000000,,0,,,,,,
CAPE TOWN,CAPE TOWN,GPE,-0.32509438,0.52793082,en,2.70000000,,0,,,,,,
South East Asia,South East Asia,LOC,0.05897436,0.68461538,en,2.60000000,,0,,,,,,
North Carolinas,North Carolinas,GPE,-0.21794872,0.35897436,en,2.60000000,,0,,,,,,
Comoros,Comoros,GPE,-0.00480769,0.20192308,en,2.60000000,,0,,,,,,
Chennai,Chennai,GPE,-0.24074074,0.39031339,en,2.60000000,5351481-6,1264527,P,13.08784,80.27847,ASIA,India,SAS
New England,New England,LOC,0.04145854,0.53975191,en,2.60000000,,0,,,,,,
Macau,Macau,GPE,0.25000000,0.61538462,en,2.60000000,,0,,,,,,
Tennessee,Tennessee,GPE,0.09581044,0.96153846,en,2.60000000,,0,,,,,,
NY,NY,GPE,-0.01923077,0.74679487,en,2.60000000,,0,,,,,,
Northern Australia,Northern Australia,LOC,-0.31538462,0.46153846,en,2.60000000,,0,,,,,,
Bradenton,Bradenton,GPE,0.00000000,0.00000000,en,2.60000000,,0,,,,,,
Southern China,Southern China,LOC,0.11538462,0.34615385,en,2.60000000,,0,,,,,,
Shanghai,Shanghai,GPE,0.07692308,0.37179487,en,2.60000000,,0,,,,,,
Delaware,Delaware,GPE,-0.09703621,0.46521577,en,2.40000000,4085407-3,4142224,A,39.00039,-75.49992,NORTH-AMERICA,United States,ENA
Typhoon Wipha,Typhoon Wipha,LOC,0.05237269,0.43518519,en,2.40000000,,0,,,,,,
Vt,Vt,GPE,0.13020833,0.17100694,en,2.40000000,4350641-0,1651944,P,17.96667,102.6,ASIA,Laos,SEA
the Northern Territory,the Northern Territory,LOC,-0.08099747,0.66496212,en,2.40000000,,4714582,P,29.59412,-95.68078,NORTH-AMERICA,United States,CNA
NYC,NYC,GPE,-0.24382716,0.85956790,en,2.40000000,4042011-5,5128581,P,40.71427,-74.00597,NORTH-AMERICA,United States,ENA
Asia-Pacific,Asia-Pacific,LOC,-0.14496528,0.75000000,en,2.40000000,,0,,,,,,
Iowa,Iowa,GPE,0.00000000,0.00000000,en,2.40000000,4109226-0,4862182,A,42.00027,-93.50049,NORTH-AMERICA,United States,CNA
BARNET,BARNET,GPE,0.10416667,0.13194444,en,2.40000000,,2656295,P,51.65,-0.2,EUROPE,United Kingdom,NEU
Macao,Macao,GPE,0.20254630,0.54398148,en,2.40000000,4036791-5,1821274,P,22.20056,113.54611,ASIA,Macao,EAS
Tropical Storm,Tropical Storm,LOC,0.08680556,0.52430556,en,2.40000000,,0,,,,,,
NEW YORK,NEW YORK,GPE,0.24905303,0.71732955,en,2.40000000,,0,,,,,,
the Middle East,the Middle East,LOC,0.10729167,0.38055556,en,2.40000000,,12217091,L,35.8,-86.5,NORTH-AMERICA,United States,ENA
the Tampa Bay,the Tampa Bay,LOC,0.02604167,0.20833333,en,2.40000000,,6955101,L,27.87307,-82.51007,NORTH-AMERICA,United States,ENA
Hurricane Milton's,Hurricane Milton's,GPE,-0.83333333,0.93055556,en,2.40000000,,0,,,,,,
Cisco,Cisco,GPE,0.11904762,0.16617063,en,2.40000000,,4681521,P,32.38819,-98.97923,NORTH-AMERICA,United States,CNA
Pakistan,Pakistan,GPE,-0.14130435,0.50000000,en,2.30000000,,0,,,,,,
East Pacific,East Pacific,LOC,0.04695767,0.22222222,en,2.10000000,,0,,,,,,
New Orleans,New Orleans,GPE,0.30743146,1.05836941,en,2.10000000,,0,,,,,,
HANOI,HANOI,GPE,0.25536449,1.39961787,en,2.10000000,,0,,,,,,
